Player,No,Pos,DOB/Age,Caps,Club,Country,ClubCountry,Year,Gols
Dionisio Mejía,,4FW,(1907-01-06)6 January 1907 (aged 23),1,Atlante,Mexico,Mexico,1930,0
Felipe Olivares,,4FW,18 November 1907 (age 22),0,Atlante,Mexico,Mexico,1930,0
Luis Pérez,,4FW,1 January 1907 (age 23),0,Necaxa,Mexico,Mexico,1930,0
Raymundo Rodríguez,,3MF,15 April 1905 (age 25),0,Marte,Mexico,Mexico,1930,0
Felipe Rosas,,3MF,(1910-02-05)5 February 1910 (aged 20),0,Atlante,Mexico,Mexico,1930,0
Manuel Rosas,,2DF,(1912-04-17)17 April 1912 (aged 18),0,Atlante,Mexico,Mexico,1930,0
José Ruíz,,4FW,1 January 1904 (age 26),0,Necaxa,Mexico,Mexico,1930,0
Alfredo Viejo Sánchez,,3MF,(1908-05-24)24 May 1908 (aged 22),0,América,Mexico,Mexico,1930,0
Isidoro Sota,,1GK,(1902-02-04)4 February 1902 (aged 28),0,América,Mexico,Mexico,1930,0
Milorad Arsenijević,,3MF,(1906-06-06)6 June 1906 (aged 24),16,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930,0
Ivan Bek,,4FW,(1909-10-29)29 October 1909 (aged 20),2,FC Sète,Yugoslavia,France,1930,0
Momčilo Đokić,,3MF,(1911-02-27)27 February 1911 (aged 19),2,SK Jugoslavija,Yugoslavia,Kingdom of Yugoslavia,1930,0
Branislav Hrnjiček,,3MF,(1908-06-05)5 June 1908 (aged 22),4,SK Jugoslavija,Yugoslavia,Kingdom of Yugoslavia,1930,0
Milutin Ivković (c),,2DF,(1906-03-03)3 March 1906 (aged 24),22,SK Soko,Yugoslavia,Kingdom of Yugoslavia,1930,0
Milovan Jakšić,,1GK,(1909-09-19)19 September 1909 (aged 20),2,SK Soko,Yugoslavia,Kingdom of Yugoslavia,1930,0
Blagoje Marjanović,,4FW,(1907-09-09)9 September 1907 (aged 22),15,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930,0
Bozidar Marković,,4FW,(1900-01-01)1 January 1900 (aged 30),0,SK Vojvodina,Yugoslavia,Kingdom of Yugoslavia,1930,0
Dragoslav Mihajlović,,2DF,(1906-12-13)13 December 1906 (aged 23),1,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930,0
Dragutin Najdanović,,4FW,(1908-04-15)15 April 1908 (aged 22),3,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930,0
Branislav Sekulić,,4FW,(1906-10-29)29 October 1906 (aged 23),3,Club Français,Yugoslavia,France,1930,0
Teofilo Spasojević,,3MF,(1909-01-21)21 January 1909 (aged 21),1,SK Jugoslavija,Yugoslavia,Kingdom of Yugoslavia,1930,0
Ljubiša Stefanović,,3MF,(1910-01-04)4 January 1910 (aged 20),0,FC Sète,Yugoslavia,France,1930,0
Milan Stojanović,,1GK,(1911-12-28)28 December 1911 (aged 18),0,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930,0
Aleksandar Tirnanić,,4FW,(1910-07-15)15 July 1910 (aged 19),5,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930,0
Dragomir Tošić,,2DF,(1909-11-08)8 November 1909 (aged 20),0,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930,0
Đorđe Vujadinović,,4FW,(1909-11-29)29 November 1909 (aged 20),4,BSK Beograd,Yugoslavia,Kingdom of Yugoslavia,1930,0
Araken,,4FW,(1905-07-17)17 July 1905 (aged 24),0,Flamengo*,Brazil,Brazil,1930,0
Benedicto,,4FW,(1906-10-30)30 October 1906 (aged 23),0,Botafogo,Brazil,Brazil,1930,0
Brilhante,,2DF,(1904-11-05)5 November 1904 (aged 25),0,Vasco da Gama,Brazil,Brazil,1930,0
Carvalho Leite,,4FW,(1912-06-25)25 June 1912 (aged 18),0,Botafogo,Brazil,Brazil,1930,0
Fausto,,2DF,(1905-01-28)28 January 1905 (aged 25),0,Vasco da Gama,Brazil,Brazil,1930,0
Fernando,,3MF,(1906-03-01)1 March 1906 (aged 24),0,Fluminense,Brazil,Brazil,1930,0
Fortes,,3MF,(1901-09-09)9 September 1901 (aged 28),13,Fluminense,Brazil,Brazil,1930,0
Hermógenes,,2DF,(1908-11-04)4 November 1908 (aged 21),0,America-RJ,Brazil,Brazil,1930,0
Itália,,2DF,(1907-05-22)22 May 1907 (aged 23),0,Vasco da Gama,Brazil,Brazil,1930,0
Ivan Mariz,,3MF,(1910-05-16)16 May 1910 (aged 20),0,Fluminense,Brazil,Brazil,1930,0
Joel,,1GK,(1904-05-01)1 May 1904 (aged 26),0,America-RJ,Brazil,Brazil,1930,0
Manoelzinho,,4FW,(1907-08-22)22 August 1907 (aged 22),0,Ypiranga-RJ,Brazil,Brazil,1930,0
Moderato,,4FW,(1902-07-14)14 July 1902 (aged 27),4,Flamengo,Brazil,Brazil,1930,0
Nilo,,4FW,(1903-04-03)3 April 1903 (aged 27),10,Botafogo,Brazil,Brazil,1930,0
Oscarino,,3MF,(1907-01-17)17 January 1907 (aged 23),0,Ypiranga-RJ,Brazil,Brazil,1930,0
Pamplona,,3MF,(1904-03-24)24 March 1904 (aged 26),2,Botafogo,Brazil,Brazil,1930,0
Poly,,4FW,(1909-01-26)26 January 1909 (aged 21),0,Americano-RJ,Brazil,Brazil,1930,0
Preguinho (c),,4FW,(1905-02-08)8 February 1905 (aged 25),0,Fluminense,Brazil,Brazil,1930,0
Russinho,,4FW,(1902-12-18)18 December 1902 (aged 27),0,Vasco da Gama,Brazil,Brazil,1930,0
Teóphilo,,4FW,(1900-04-11)11 April 1900 (aged 30),0,São Cristóvão,Brazil,Brazil,1930,0
Velloso,,1GK,(1908-09-25)25 September 1908 (aged 21),0,Fluminense,Brazil,Brazil,1930,0
Zé Luiz,,2DF,(1904-11-16)16 November 1904 (aged 25),0,São Cristóvão,Brazil,Brazil,1930,0
Mario Alborta,,4FW,(1910-09-19)19 September 1910 (aged 19),7,Club Bolívar,Bolivia,Bolivia,1930,0
Juan Argote,,3MF,(1906-11-25)25 November 1906 (aged 23),0,Club Bolívar,Bolivia,Bolivia,1930,0
Jesús Bermúdez,,1GK,(1902-01-24)24 January 1902 (aged 28),6,Oruro Royal,Bolivia,Bolivia,1930,0
Miguel Brito,,3MF,(1901-06-13)13 June 1901 (aged 29),0,Oruro Royal,Bolivia,Bolivia,1930,0
José Bustamante,,4FW,(1907-01-01)1 January 1907 (aged 23),7,Litoral,Bolivia,Bolivia,1930,0
Casiano Chavarría,,2DF,(1901-08-03)3 August 1901 (aged 28),6,Calavera La Paz,Bolivia,Bolivia,1930,0
Segundo Durandal,,2DF,(1912-03-17)17 March 1912 (aged 18),0,Club San José,Bolivia,Bolivia,1930,0
René Fernández,,4FW,(1906-01-01)1 January 1906 (aged 24),0,Alianza Oruro,Bolivia,Bolivia,1930,0
Gumercindo Gómez,,4FW,(1907-01-21)21 January 1907 (aged 23),0,Oruro Royal,Bolivia,Bolivia,1930,0
Diógenes Lara,,3MF,(1903-04-06)6 April 1903 (aged 27),7,Club Bolívar,Bolivia,Bolivia,1930,0
Rafael Méndez (c),,4FW,(1904-01-01)1 January 1904 (aged 26),7,Universitario La Paz,Bolivia,Bolivia,1930,0
Miguel Murillo,,1GK,(1898-03-24)24 March 1898 (aged 32),0,Club Bolívar,Bolivia,Bolivia,1930,0
Constantino Noya,,3MF,,0,Oruro Royal,Bolivia,Bolivia,1930,0
Eduardo Reyes Ortiz,,4FW,(1907-01-01)1 January 1907 (aged 23),0,The Strongest,Bolivia,Bolivia,1930,0
Luis Reyes Peñaranda,,2DF,(1911-06-05)5 June 1911 (aged 19),0,Universitario La Paz,Bolivia,Bolivia,1930,0
Renato Sáinz,,3MF,(1899-12-14)14 December 1899 (aged 30),5,The Strongest,Bolivia,Bolivia,1930,0
Jorge Valderrama,,3MF,(1906-12-12)12 December 1906 (aged 23),5,Oruro Royal,Bolivia,Bolivia,1930,0
José Leandro Andrade,,3MF,(1901-11-22)22 November 1901 (aged 28),30,Nacional,Uruguay,Uruguay,1930,0
Peregrino Anselmo,,4FW,(1902-04-30)30 April 1902 (aged 28),08,Peñarol,Uruguay,Uruguay,1930,0
Enrique Ballesteros,,1GK,(1905-01-18)18 January 1905 (aged 25),01,Rampla Juniors,Uruguay,Uruguay,1930,0
Juan Carlos Calvo,,4FW,(1906-06-26)26 June 1906 (aged 24),0-,Miramar Misiones,Uruguay,Uruguay,1930,0
Miguel Capuccini,,1GK,(1904-01-05)5 January 1904 (aged 26),06,Peñarol,Uruguay,Uruguay,1930,0
Héctor Castro,,4FW,(1904-11-29)29 November 1904 (aged 25),17,Nacional,Uruguay,Uruguay,1930,0
Pedro Cea,,4FW,(1900-09-01)1 September 1900 (aged 29),21,Nacional,Uruguay,Uruguay,1930,0
Pablo Dorado,,4FW,(1908-06-22)22 June 1908 (aged 22),02,Bella Vista,Uruguay,Uruguay,1930,0
Lorenzo Fernández,,3MF,(1900-05-20)20 May 1900 (aged 30),20,Peñarol,Uruguay,Uruguay,1930,0
Álvaro Gestido,,3MF,(1907-05-17)17 May 1907 (aged 23),10,Peñarol,Uruguay,Uruguay,1930,0
Santos Iriarte,,4FW,(1902-11-02)2 November 1902 (aged 27),0-,Racing Club,Uruguay,Uruguay,1930,0
Ernesto Mascheroni,,2DF,(1907-11-21)21 November 1907 (aged 22),0-,Olimpia,Uruguay,Uruguay,1930,0
Ángel Melogno,,3MF,(1905-03-22)22 March 1905 (aged 25),05,Bella Vista,Uruguay,Uruguay,1930,0
José Nasazzi (c),,2DF,(1901-05-24)24 May 1901 (aged 29),28,Bella Vista,Uruguay,Uruguay,1930,0
Pedro Petrone,,4FW,(1905-05-11)11 May 1905 (aged 25),28,Nacional,Uruguay,Uruguay,1930,0
Conduelo Píriz,,3MF,(1905-06-17)17 June 1905 (aged 25),07,Nacional,Uruguay,Uruguay,1930,0
Emilio Recoba,,2DF,(1904-11-03)3 November 1904 (aged 25),05,Nacional,Uruguay,Uruguay,1930,0
Carlos Riolfo,,3MF,(1903-11-05)5 November 1903 (aged 26),02,Peñarol,Uruguay,Uruguay,1930,0
Zoilo Saldombide,,4FW,(1903-10-26)26 October 1903 (aged 26),14,Nacional,Uruguay,Uruguay,1930,0
Héctor Scarone,,4FW,(1898-11-26)26 November 1898 (aged 31),49,Nacional,Uruguay,Uruguay,1930,0
Domingo Tejera,,2DF,(1899-07-27)27 July 1899 (aged 30),15,Montevideo Wanderers,Uruguay,Uruguay,1930,0
Santos Urdinarán,,4FW,(1900-03-30)30 March 1900 (aged 30),19,Nacional,Uruguay,Uruguay,1930,0
Ștefan Barbu,,4FW,(1908-03-02)2 March 1908 (aged 22),4,Gloria Arad,Romania,Romania,1930,0
Rudolf Bürger,,2DF,(1908-10-31)31 October 1908 (aged 21),4,Chinezul Timișoara,Romania,Romania,1930,0
Iosif Czako,,2DF,(1906-06-11)11 June 1906 (aged 24),1,UDR Reșița,Romania,Romania,1930,0
Adalbert Deșu,,4FW,(1909-03-24)24 March 1909 (aged 21),4,UDR Reșița,Romania,Romania,1930,0
Alfred Eisenbeisser,,3MF,(1908-04-07)7 April 1908 (aged 22),0,Dragoș Vodă Cernăuți,Romania,Romania,1930,0
Miklós Kovács,,4FW,(1911-12-23)23 December 1911 (aged 18),3,Banatul Timișoara,Romania,Romania,1930,0
Ion Lăpușneanu,,1GK,(1908-12-08)8 December 1908 (aged 21),3,Sportul Studențesc,Romania,Romania,1930,0
Ladislau Raffinsky,,3MF,(1905-04-23)23 April 1905 (aged 25),4,Juventus București,Romania,Romania,1930,0
Corneliu Robe,,3MF,(1908-05-23)23 May 1908 (aged 22),0,Olympia București,Romania,Romania,1930,0
Constantin Stanciu,,4FW,(1907-09-24)24 September 1907 (aged 22),4,Venus București,Romania,Romania,1930,0
Adalbert Steiner,,2DF,(1907-01-24)24 January 1907 (aged 23),9,Chinezul Timișoara,Romania,Romania,1930,0
Ilie Subășeanu,,4FW,(1906-01-01)1 January 1906 (aged 24),2,Olympia București,Romania,Romania,1930,0
Emerich Vogl (c),,2DF,(1905-08-12)12 August 1905 (aged 24),10,Juventus București,Romania,Romania,1930,0
Rudolf Wetzer,,4FW,(1901-03-17)17 March 1901 (aged 29),12,Juventus București,Romania,Romania,1930,0
Samuel Zauber,,1GK,(1900-11-10)10 November 1900 (aged 29),0,Maccabi București,Romania,Romania,1930,0
Eduardo Astengo,,3MF,(1905-08-15)15 August 1905 (aged 24),3,Universitario de Deportes,Peru,Peru,1930,0
Carlos Cillóniz,,3MF,(1910-07-01)1 July 1910 (aged 20),0,Universitario de Deportes,Peru,Peru,1930,0
Mario de las Casas,,2DF,(1901-01-31)31 January 1901 (aged 29),0,Lawn Tennis de la Exposición,Peru,Peru,1930,0
Alberto Denegri,,3MF,(1906-08-07)7 August 1906 (aged 23),3,Universitario de Deportes,Peru,Peru,1930,0
Arturo Fernández,,2DF,(1910-04-10)10 April 1910 (aged 20),0,Universitario de Deportes,Peru,Peru,1930,0
Plácido Galindo (c),,3MF,(1906-03-09)9 March 1906 (aged 24),1,Universitario de Deportes,Peru,Peru,1930,0
Domingo García,,3MF,(1904-11-30)30 November 1904 (aged 25),0,Alianza Lima,Peru,Peru,1930,0
José María Lavalle,,4FW,(1911-06-05)5 June 1911 (aged 19),3,Alianza Lima,Peru,Peru,1930,0
Julio Lores,,4FW,(1908-09-15)15 September 1908 (aged 21),0,Necaxa,Peru,Mexico,1930,0
Antonio Maquilón,,2DF,(1902-11-29)29 November 1902 (aged 27),5,Tarapacá Ferroviario,Peru,Peru,1930,0
Demetrio Neyra,,4FW,(1908-12-15)15 December 1908 (aged 21),2,Alianza Lima,Peru,Peru,1930,0
Pablo Pacheco,,4FW,,0,Universitario de Deportes,Peru,Peru,1930,0
Jorge Pardon,,1GK,(1909-12-19)19 December 1909 (aged 20),6,Sporting Tabaco,Peru,Peru,1930,0
Julio Quintana,,3MF,(1904-07-13)13 July 1904 (aged 26),0,Alianza Lima,Peru,Peru,1930,0
Lizardo Rodríguez Nue,,4FW,(1910-08-30)30 August 1910 (aged 19),0,Sport Progreso,Peru,Peru,1930,0
Jorge Sarmiento,,4FW,(1900-11-02)2 November 1900 (aged 29),2,Alianza Lima,Peru,Peru,1930,0
Alberto Soria,,2DF,(1906-03-10)10 March 1906 (aged 24),0,Alianza Lima,Peru,Peru,1930,0
Luis de Souza,,4FW,(1904-06-30)30 June 1904 (aged 26),0,Universitario de Deportes,Peru,Peru,1930,0
Juan Valdivieso,,1GK,(1910-05-06)6 May 1910 (aged 20),0,Alianza Lima,Peru,Peru,1930,0
Alejandro Villanueva,,4FW,(1908-06-04)4 June 1908 (aged 22),2,Alianza Lima,Peru,Peru,1930,0
Andy Auld,,3MF,(1900-01-26)26 January 1900 (aged 30),1,Providence Gold Bugs,United States,United States,1930,0
Mike Bookie,,4FW,(1904-09-12)12 September 1904 (aged 25),0,Cleveland Slavia,United States,United States,1930,0
Jim Brown,,4FW,(1908-12-31)31 December 1908 (aged 21),3,New York Giants,United States,United States,1930,0
Jimmy Douglas,,1GK,(1898-01-12)12 January 1898 (aged 32),5,New York Nationals,United States,United States,1930,0
Tom Florie (c),,4FW,(1897-09-06)6 September 1897 (aged 32),2,New Bedford Whalers,United States,United States,1930,0
Jimmy Gallagher,,3MF,(1901-06-07)7 June 1901 (aged 29),2,New York Nationals,United States,United States,1930,0
James Gentle,,4FW,(1904-07-21)21 July 1904 (aged 25),0,Philadelphia Field Club,United States,United States,1930,0
Billy Gonsalves,,4FW,(1908-08-10)10 August 1908 (aged 21),0,Fall River Marksmen,United States,United States,1930,0
Bart McGhee,,4FW,(1899-04-30)30 April 1899 (aged 31),0,New York Nationals,United States,United States,1930,0
George Moorhouse,,2DF,(1901-05-04)4 May 1901 (aged 29),1,New York Giants,United States,United States,1930,0
Arnie Oliver,,4FW,(1907-05-22)22 May 1907 (aged 23),0,Lucitania Recreation,United States,United States,1930,0
Bert Patenaude,,4FW,(1909-11-04)4 November 1909 (aged 20),0,Fall River Marksmen,United States,United States,1930,0
Philip Slone,,3MF,(1907-01-20)20 January 1907 (aged 23),0,New York Giants,United States,United States,1930,0
Raphael Tracey,,4FW,(1904-02-06)6 February 1904 (aged 26),0,Ben Millers,United States,United States,1930,0
Frank Vaughn,,2DF,(1902-02-18)18 February 1902 (aged 28),0,Ben Millers,United States,United States,1930,0
Alexander Wood,,2DF,(1907-06-12)12 June 1907 (aged 23),0,Detroit Holley Carburetor,United States,United States,1930,0
Francisco Aguirre,,3MF,1908,0,Olimpia,Paraguay,Paraguay,1930,0
Pedro Benítez,,1GK,(1901-01-12)12 January 1901 (aged 29),0,Libertad,Paraguay,Paraguay,1930,0
Santiago Benítez,,3MF,1906,0,Olimpia,Paraguay,Paraguay,1930,0
Delfín Benítez Cáceres,,4FW,(1910-09-24)24 September 1910 (aged 19),0,Libertad,Paraguay,Paraguay,1930,0
Saguier Carreras,,4FW,,?,Sportivo Luqueño,Paraguay,Paraguay,1930,0
Eustacio Chamorro,,2DF,,?,Presidente Hayes,Paraguay,Paraguay,1930,0
Modesto Denis,,1GK,1901,0,Nacional,Paraguay,Paraguay,1930,0
Eusebio Díaz,,3MF,1901,0,Guaraní,Paraguay,Paraguay,1930,0
Diógenes Domínguez,,4FW,1902,0,Sportivo Luqueño,Paraguay,Paraguay,1930,0
Romildo Etcheverry,,3MF,1907,0,Olimpia,Paraguay,Paraguay,1930,0
Diego Florentín,,3MF,,?,River Plate,Paraguay,Paraguay,1930,0
Salvador Flores,,2DF,1906,0,Cerro Porteño,Paraguay,Paraguay,1930,0
Tranquilino Garcete,,3MF,1907,0,Libertad,Paraguay,Paraguay,1930,0
Aurelio González,,4FW,(1905-09-25)25 September 1905 (aged 24),0,Olimpia,Paraguay,Paraguay,1930,0
José Miracca,,2DF,(1903-09-23)23 September 1903 (aged 26),0,Nacional,Paraguay,Paraguay,1930,0
Lino Nessi,,4FW,1904,0,Libertad,Paraguay,Paraguay,1930,0
Quiterio Olmedo,,2DF,(1907-12-21)21 December 1907 (aged 22),0,Nacional,Paraguay,Paraguay,1930,0
Amadeo Ortega,,4FW,,0,River Plate,Paraguay,Paraguay,1930,0
Bernabé Rivera,,4FW,,0,Sportivo Luqueño,Paraguay,Paraguay,1930,0
Gerardo Romero,,4FW,1906,0,Libertad,Paraguay,Paraguay,1930,0
Luis Vargas Peña (c),,4FW,(1907-04-23)23 April 1907 (aged 23),0,Olimpia,Paraguay,Paraguay,1930,0
Jacinto Villalba,,4FW,,?,Cerro Porteño,Paraguay,Paraguay,1930,0
Ferdinand Adams,,4FW,(1903-05-03)3 May 1903 (aged 27),21,SC Anderlechtois,Belgium,Belgium,1930,0
Arnold Badjou,,1GK,(1909-06-26)26 June 1909 (aged 21),3,Daring Club de Bruxelles Société Royale,Belgium,Belgium,1930,0
Pierre Braine (c),,3MF,(1900-10-26)26 October 1900 (aged 29),42,Royal Beerschot AC,Belgium,Belgium,1930,0
Alexis Chantraine,,3MF,(1901-03-16)16 March 1901 (aged 29),0,Royal FC Liégeois,Belgium,Belgium,1930,0
Jean De Bie,,1GK,(1892-05-09)9 May 1892 (aged 38),37,Royal Racing Club de Bruxelles,Belgium,Belgium,1930,0
Jean De Clercq,,3MF,(1905-05-17)17 May 1905 (aged 25),5,Royal Antwerp FC,Belgium,Belgium,1930,0
Henri De Deken,,2DF,(1907-08-03)3 August 1907 (aged 22),0,Royal Antwerp FC,Belgium,Belgium,1930,0
Gérard Delbeke,,3MF,(1903-09-01)1 September 1903 (aged 26),0,Royal FC Brugeois,Belgium,Belgium,1930,0
Jan Diddens,,4FW,(1908-09-14)14 September 1908 (aged 21),21,RC de Malines Société Royale,Belgium,Belgium,1930,0
August Hellemans,,3MF,(1907-09-14)14 September 1907 (aged 22),4,Royal FC Malinois,Belgium,Belgium,1930,0
Nic Hoydonckx,,2DF,(1900-12-29)29 December 1900 (aged 29),19,FC Excelsior Hasselt,Belgium,Belgium,1930,0
Jacques Moeschal,,4FW,(1900-09-06)6 September 1900 (aged 29),15,Royal Racing Club de Bruxelles,Belgium,Belgium,1930,0
Theodore Nouwens,,2DF,(1908-02-17)17 February 1908 (aged 22),10,RC de Malines Société Royale,Belgium,Belgium,1930,0
